date,file_type,ticker,name,close,mode,mode_css,revl,mom,r,days,tr_weeks,pl_raw,pl_num,signal_type
2026-04-16,daily,ALH,Alliance Laundry Holdings,25.0,Dark Green,c4,21.46,9.06,-0.47,9,1,+18.48%,18.48,pP
2026-04-16,daily,ALVO,Alvotech,3.66,Dark Red,c6,3.82,1.25,-1.42,47,42,+26.95%,26.95,AddSh
2026-04-16,daily,AMWL,American Well,6.49,Bear-Bull Flip,c20,5.32,1.17,-0.92,3,6,-25.05%,-25.05,Buy
2026-04-16,daily,API,Agora Inc,3.97,Bear-Bull Flip,c20,3.77,1.99,0.08,29,4,+7.67%,7.67,Buy
2026-04-16,daily,ARGX,Argenx SA,840.87,Dark Green,c4,746.25,9.67,-0.24,10,0,+13.43%,13.43,pP+
2026-04-16,daily,ASAN,Asana Inc,6.08,Light Red,c7,6.59,-3.73,-1.4,76,56,+54.59%,54.59,dBuy
2026-04-16,daily,ASTS,AST SpaceMobile,86.91,Bull-Bear Flip,c18,95.75,1.54,1.26,7,28,-6.65%,-6.65,Sell
2026-04-16,daily,ATHM,Autohome Inc,18.35,Bear-Bull Flip,c20,17.73,1.61,-1.06,53,26,+19.45%,19.45,Buy
2026-04-16,daily,ATKR,Atkore Intl.,67.68,Dark Green,c4,62.08,8.7,-0.74,7,0,+8.60%,8.6,pP
2026-04-16,daily,AVPT,AvePoint Inc,9.75,Light Red,c7,10.03,-2.66,-0.91,25,35,+9.05%,9.05,dBuy
2026-04-16,daily,AXSM,Axsome Therapeutics,184.18,Dark Green,c4,166.15,7.8,0.92,10,33,+8.04%,8.04,pP
2026-04-16,daily,BAP,Credicorp Ltd,316.49,Bull-Bear Flip,c18,348.22,3.48,1.03,10,50,-8.50%,-8.5,Sell
2026-04-16,daily,BB,BlackBerry Ltd,4.11,Dark Green,c4,3.47,9.36,-0.64,8,0,+18.10%,18.1,pP+
2026-04-16,daily,BBAI,BigBear.ai,3.79,Bear-Bull Flip,c20,3.48,-0.61,-0.83,58,20,+34.54%,34.54,Buy
2026-04-16,daily,BBBY,Bed Bath & Beyond,5.28,Bear-Bull Flip,c20,4.64,1.38,-1.11,52,23,+14.15%,14.15,Buy
2026-04-16,daily,BCE,BCE Inc,23.82,Light Red,c7,24.93,-8.06,-0.32,14,0,+6.48%,6.48,spBuy
2026-04-16,daily,BCS,Barclays plc,23.91,Dark Green,c4,21.97,8.56,0.58,5,0,+3.06%,3.06,pP
2026-04-16,daily,BDN,Brandywine Realty Trust,2.81,Bear-Bull Flip,c20,2.7,-0.01,-1.02,27,27,+6.33%,6.33,Buy
2026-04-16,daily,BDTX,Black Diamond Therapeutics,2.87,Dark Green,c4,2.34,8.19,-0.9,9,18,+25.33%,25.33,pP
2026-04-16,daily,BEP,Brookfield Renewable Energy,35.38,Dark Green,c4,32.45,7.23,0.48,63,47,+24.14%,24.14,pP
2026-04-16,daily,BHP,BHP Billiton,79.47,Dark Green,c4,72.67,8.4,0.68,10,40,+8.09%,8.09,pP
2026-04-16,daily,BLX,Banco Latinoamericano,56.04,Dark Green,c4,51.32,8.5,0.63,18,11,+13.35%,13.35,pP+
2026-04-16,daily,BRZE,Braze Inc,22.74,Bear-Bull (LR-LG),c21,20.39,-1.56,-1.13,4,12,-12.63%,-12.63,wBuy
2026-04-16,daily,BSM,Black Stone Minerals,13.63,Dark Red,c6,14.7,-8.51,0.17,9,0,+7.66%,7.66,spBuy
2026-04-16,daily,BTDR,Bitdeer Technologies,12.61,Dark Green,c4,9.37,8.57,-1.29,9,8,+41.37%,41.37,pP+
